movie_name,movie_name_original,movie_genres,movie_release,movie_cover_link_HQ,movie_cover_link_LQ,movie_presentationmovie_stars
Smallville,Smallville,"Action, Adventure, Drama",2001–2017,https://m.media-amazon.com/images/M/MV5BYmNiNzlhOWItMDM5Mi00MGYzLWI1ZDYtNmI5NzI0MWFkMTIwXkEyXkFqcGdeQXVyNjU2NjA5NjM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYmNiNzlhOWItMDM5Mi00MGYzLWI1ZDYtNmI5NzI0MWFkMTIwXkEyXkFqcGdeQXVyNjU2NjA5NjM@._V1_FMjpg_UY443_.jpg,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.","Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk"
Prison Break,Prison Break,"Action, Crime, Drama",2005–2017,https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_FMjpg_UY470_.jpg,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper"
S.W.A.T.,S.W.A.T.,"Action, Adventure, Crime",2017– ,https://m.media-amazon.com/images/M/MV5BMTJkMGQxMGItMTlkOC00YWYzLWJhMDEtOTliNjcwNGM1MmFhXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTJkMGQxMGItMTlkOC00YWYzLWJhMDEtOTliNjcwNGM1MmFhXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_FMjpg_UY480_.jpg,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,"Shemar Moore, Alex Russell, Kenny Johnson, Jay Harrington"
The Umbrella Academy,The Umbrella Academy,"Action, Adventure, Comedy",2019–2023,https://m.media-amazon.com/images/M/MV5BOTdlODM0MTAtMzRiZi00MTQxLWE0MGUtNTNjOGZjNjAzN2E0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTdlODM0MTAtMzRiZi00MTQxLWE0MGUtNTNjOGZjNjAzN2E0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UY400_.jpg,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman"
Raumschiff Enterprise: Das nächste Jahrhundert,Star Trek: The Next Generatio,"Action, Adventure, Sci-Fi",1987–1994,https://m.media-amazon.com/images/M/MV5BOWFhYjE4NzMtOWJmZi00NzEyLTg5NTctYmIxMTU1ZDIxMDAyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOWFhYjE4NzMtOWJmZi00NzEyLTg5NTctYmIxMTU1ZDIxMDAyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_FMjpg_UY457_.jpg,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
Cyberpunk: Edgerunners,Cyberpunk: Edgerunners,"Animation, Action, Adventure",2022– ,https://m.media-amazon.com/images/M/MV5BNzVhYzlkOWEtZTNiNC00NGI0LTg3MzEtNDg1NTQ5YWFjOWE3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzVhYzlkOWEtZTNiNC00NGI0LTg3MzEtNDg1NTQ5YWFjOWE3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UY474_.jpg,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.","Zach Aguilar, Kenichiro Ohashi, Emi Lo, Aoi Yûki"
Boku no Hero Academia,Boku no hîrô akadem,"Animation, Action, Adventure",2016– ,https://m.media-amazon.com/images/M/MV5BMjRlNTgwMWItYTAxMS00ODQ2LTlhOTMtOWRjMjlhYTQxNjlkXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjRlNTgwMWItYTAxMS00ODQ2LTlhOTMtOWRjMjlhYTQxNjlkXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_FMjpg_UY450_.jpg,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,"Daiki Yamashita, Nobuhiko Okamoto, Justin Briner, Ayane Sakura"
Seattle Firefighters: Die jungen Helden,Station 19,"Action, Drama, Romance",2018– ,https://m.media-amazon.com/images/M/MV5BOWY2NDE2NjktNTZkMi00MDNlLTliZTctYzY5OGJkMjYxOTI4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOWY2NDE2NjktNTZkMi00MDNlLTliZTctYzY5OGJkMjYxOTI4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UY400_.jpg,"This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington.","Jaina Lee Ortiz, Jason George, Grey Damon, Barrett Doss"
Marvel's Daredevil,Daredev,"Action, Crime, Drama",2015–2018,https://m.media-amazon.com/images/M/MV5BYTA2OGExMTctYTAxYS00NjM0LTljZjAtYjViZWRiMDdiMGRkXkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTA2OGExMTctYTAxYS00NjM0LTljZjAtYjViZWRiMDdiMGRkXkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_FMjpg_UY466_.jpg,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"
The Last of Us,The Last of Us,"Action, Adventure, Drama",2023– ,https://m.media-amazon.com/images/M/MV5BNWJkZjYwODctZWMwYy00MmJkLThlYWEtNGZkNGJhNWRhNGExXkEyXkFqcGdeQXVyODk5ODA3OTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNWJkZjYwODctZWMwYy00MmJkLThlYWEtNGZkNGJhNWRhNGExXkEyXkFqcGdeQXVyODk5ODA3OTM@._V1_FMjpg_UY400_.jpg,"Joel and Ellie, a pair connected through the harshness of the world they live in, are forced to endure brutal circumstances and ruthless killers on a trek across post-pandemic America.","Pedro Pascal, Bella Ramsey, Gabriel Luna, Nick Offerman"
